portuguese,pronunciation_ru,russian,category,type,examples,notes
Ola!,,"привет, можно говорить кому угодно",Базовые слова,Done,,
BOM DIA,,с 7 утра до 12 дня (если еще не пообедали),Базовые слова,New,,
BOA TARDE,,с 12 до 19 (уже пообедали),Базовые слова,Done,,
BOA NOITE,,с 19 до 00,Базовые слова,Done,,
"BOM, BOA",,good,Базовые слова,New,,
DIA,,день,Базовые слова,Done,,
TARDE,,afternoon,Базовые слова,New,,
Adeus!,адэуш,до свидания! (более официальный),Базовые слова,,,
Tchau! ,,пока,Базовые слова,,,
Até à próxima! / Até quarta,атэ а проксима ,до следующего (раза)! до новых встреч / до среды,Базовые слова,,,
Beijinhos! ,бэйжиньюш,Поцелуйчики! ,Базовые слова,,,
Abraços! ,абрасуш,обнимания (мужчины мужчинам говорят),Базовые слова,,,
manhã,манья,утро,Базовые слова,,,
eu,эу,я,Базовые слова,Done,личные местоимения,местоимения
tu,ту,ты,Базовые слова,New,,местоимения
ti,ти,ты (после предлога),Базовые слова,,"Eu olho para ti. - Я смотрю на тебя.
Isto é para ti. — Это для тебя.",
ele,эл,он,Базовые слова,New,,местоимения
ela,эла,она,Базовые слова,New,,местоимения
você,восэ,Вы (в ед.ч. уважительно),Базовые слова,New,,местоимения
isto,ишту,"это (средний род, указательное местоимение)",Базовые слова,,"Isto é difícil. — Это трудно.
O que é isto? — Что это?
Isto não é verdade. — Это неправда.",
isso,ису,это (рядом с тобой / уже упомянутое),Базовые слова,,,
aquilo,,то (далеко от обоих),Базовые слова,,,
nós,нош,мы,Базовые слова,New,,местоимения
eles ,элеш,"они (группа мужчин или смешанная группа)
Местоимение 3-го лица множественного числа
Используется, когда говорим о ком-то (не участвует в разговоре)",Базовые слова,,Eles são meus amigos. — Они мои друзья.,местоимения
elas,элаш,"они (только женщины)
Местоимение 3-го лица множественного числа
Используется, когда говорим о ком-то (не участвует в разговоре)",Базовые слова,,Elas estudam medicina. — Они (девушки) учатся на врачей.,местоимения
vocês,восэш,"Вы (во множ.ч)
Местоимение 2-го лица множественного числа (в разговорной речи)
Используется, когда обращаешься к нескольким людям
Универсальное обращение ко множеству людей независимо от пола
Есть еще vos - но это устаревшая литературная форма ",Базовые слова,,"Vocês estão prontos? — Вы готовы?
Vocês estão prontos? — Вы готовы?",местоимения
mulher,мулер (в Duo муляш),женщина,"Люди, семья, дом",New,,
homem,омем,мужчина,"Люди, семья, дом",New,,
humano,уману,человек,"Люди, семья, дом",,,
o menino,а менино,мальчик,"Люди, семья, дом",New,,
a menina,менина,девочка,"Люди, семья, дом",New,,
avó,авО,бабушка,"Люди, семья, дом",New,,
avô,авУ,дедушка,"Люди, семья, дом",New,,
abdômen,абдомэн,живот,Части тела,New,,
barriga,,желудок,Части тела,,,
queixo,кейжу,подбородок,Части тела,New,,
braço,брасу,рука от плеча до кисти / arm,Части тела,New,,
mão,,"ладонь, кисть / hand",Части тела,New,,
cara,кара,лицо,Части тела,New,,
lado,ладу,сторона,Части тела,New,,
dedo,деду,палец,Части тела,New,,
costas,кошташ,спина,Части тела,New,,
língua,лингуа,язык,Части тела,New,,
nariz,нариш,нос,Части тела,New,,
orelha,орЭлья,ухо,Части тела,New,,
joelho,жУэлью,колено,Части тела,New,,
pele,пЭл,кожа,Части тела,New,,
músculo,мускулу,мышцы,Части тела,New,,
boca,бока,рот,Части тела,New,,
cotovelo,котовелу,локоть / elbow,Части тела,New,,
pescoço,пешкосу,шея,Части тела,New,,
dente,дэнтэ,зуб,Части тела,New,,
ombro,омбру,плечо,Части тела,New,,
lábio,лабиу,губа,Части тела,New,,
olho,олью,глаз,Части тела,New,,
perna,пэрна,нога (от бедра до щиколотки),Части тела,New,,
pé,пээ,стопа,Части тела,New,,
unha,унья,ногодь,Части тела,New,,
pestana,пыштана,ресница,Части тела,New,,
cabelo,кабэл,волосы,Части тела,New,,
coração,курэсау,сердце,Части тела,New,,
estômago,эштомагу,желудок,Части тела,New,,
osso,оссу,кость,Части тела,New,,
cérebro,сэрэбру,мозг,Части тела,New,,
cicatriz,сикатриш,шрам,Части тела,,,
casada / casado,казада(о),замужем / женат,"Люди, семья, дом",New,,
solteira,солтэйра,незамужем,"Люди, семья, дом",New,,
divorciada(о),диворсиада(у),разведена,"Люди, семья, дом",New,,
vizinho,визинью,сосед,"Люди, семья, дом",New,,
beber,бебер,пить,Глаголы правильные,New,,
achar,ашар,находить / думать / считать / полагать,Глаголы правильные,,,
amar,амар,любить,Глаголы правильные,,,
andar,андар,ходить,Глаголы правильные,,,
ajudar,ажудар,помогать,Глаголы правильные,,,
abrir,абрир,открывать,Глаголы правильные,,,
aceitar,асейтар,принимать,Глаголы правильные,,,
aprender,апрендэр,учиться,Глаголы правильные,,,
acreditar,акредитар,верить,Глаголы правильные,,,
apagar,апагар,выключать,Глаголы правильные,,,
arrumar,аррумар,убирать,Глаголы правильные,,,
cantar                ,кантар,петь,Глаголы правильные,,,
chamar,шамар,звать,Глаголы правильные,,,
começar,комэсар,начинать,Глаголы правильные,,,
comer,комер,есть,Глаголы правильные,,,
comprar,компрар,покупать,Глаголы правильные,,,
convidar,конвида́р,приглашать,Глаголы правильные,,,
cozinhar,козиньяр,готовить,Глаголы правильные,,,
dançar,дансар,танцевать,Глаголы правильные,,,
desejar,дэзэжар,желать,Глаголы правильные,,,
descansar,дешкансар,отдыхать,Глаголы правильные,,,
estudar,эштудар,учиться,Глаголы правильные,,,
escrever,эшкревер,писать,Глаголы правильные,,,
explicar,эшпликар,объяснять,Глаголы правильные,,,
falar,фалар,говорить,Глаголы правильные,,,
fechar,фэшар,закрывать,Глаголы правильные,,,
ficar,фикар,оставаться,Глаголы правильные,,,
funcionar,функсионар,работать (о приборах),Глаголы правильные,,,
ganhar,ганьяр,выигрывать,Глаголы правильные,,,
gostar,гоштар,нравиться,Глаголы правильные,,,
jogar,жогар,играть,Глаголы правильные,,,
lavar,лавар,мыть,Глаголы правильные,,,
lembrar,лембрар,помнить,Глаголы правильные,,,
levar,лева́р,"нести, брать с собой",Глаголы правильные,,,
mandar,мандар,посылать,Глаголы правильные,,,
morar,морар,жить,Глаголы правильные,,,
mostrar,моштрар,показывать,Глаголы правильные,,,
mudar,мудар,менять,Глаголы правильные,,,
nadar,надар,плавать,Глаголы правильные,,,
olhar,оляр,смотреть,Глаголы правильные,,,
precisar,прэсизар,нуждаться,Глаголы правильные,,,
procurar,прокурар,искать,Глаголы правильные,,,
perguntar,пэргунтар,спрашивать,Глаголы правильные,,,
preparar,прэпарар,готовить,Глаголы правильные,,,
reparar,рэпарар,чинить,Глаголы правильные,,,
sonhar,соняр,мечтать,Глаголы правильные,,,
terminar,терминар,заканчивать,Глаголы правильные,,,
telefonar,телефонар,звонить,Глаголы правильные,,,
tentar,тэнтар,пытаться,Глаголы правильные,,,
tocar,токар,"трогать, играть (на инструменте)",Глаголы правильные,,,
trabalhar,трабальяр,работать,Глаголы правильные,,,
usar,узар,использовать,Глаголы правильные,,,
viajar,виажар,путешествовать,Глаголы правильные,,,
visitar,визитар,навещать,Глаголы правильные,,,
vestir ,вестир,одеваться ,Глаголы правильные,,,
voltar,волтар,возвращаться,Глаголы правильные,,,
cuidar,куидар,заботиться,Глаголы правильные,,,
copiar,копиар,копировать,Глаголы правильные,,,
esperar,эшперар,"ждать, надеяться",Глаголы правильные,,,
surpreendida,сумпрэндида,удивленный,Прилагательные: эмоции,New,,
apaixonado,апайшунаду,страстный,Прилагательные: эмоции,New,,
feliz,фэлиз,счастливый,Прилагательные: эмоции,New,,
triste,тришт,грустный,Прилагательные: эмоции,New,,
cansado,кансаду,уставший,Прилагательные: эмоции,New,,
descansado,дешкансаду,отдохнувший,Прилагательные: эмоции,,,
nervoso,нэрвозу,нервный,Прилагательные: эмоции,New,,
calmo,калму,спокойный,Прилагательные: эмоции,New,,
zangado,зангаду,злой,Прилагательные: эмоции,New,,
animado,анимаду,воодушевлённый,Прилагательные: эмоции,New,,
chateado,шатэаду,расстроенный,Прилагательные: эмоции,New,,
doce,доси,сладкий,Прилагательные: вкусы,New,"A laranja é doce - Апельсин (ж) сладкий.
pingo doce - сладкая капля",
salgado,салгаду,солёный,Прилагательные: вкусы,,,
amargo,амаргу,горький,Прилагательные: вкусы,,,
azedo,азеду,кислый,Прилагательные: вкусы,,,
picante,пиканти,острый,Прилагательные: вкусы,,,
vermelho,вермэлью,красный,Прилагательные: цвета,,,
azul,азул,синий,Прилагательные: цвета,,,
amarelo,амарелу,жёлтый,Прилагательные: цвета,,,
verde,верди,зелёный,Прилагательные: цвета,,,
branco,бранку,белый,Прилагательные: цвета,,,
preto,прэту,чёрный,Прилагательные: цвета,,,
laranja,ларанжа,оранжевый,Прилагательные: цвета,,A laranja é laranja,
rosa,роза,розовый,Прилагательные: цвета,,,
cinzento,синзэнту,серый,Прилагательные: цвета,,,
grande,гранди,большой,Прилагательные: размеры,,,
pequeno,пекену,маленький,Прилагательные: размеры,,,
longo,лонгу,длинный,Прилагательные: размеры,,,
curto,курту,короткий,Прилагательные: размеры,,,
alto,алту,высокий,Прилагательные: размеры,,,
baixo,байшу,низкий,Прилагательные: размеры,,,
doente,дуэнт,больной,Прилагательные: общие,,,
saudável,саудавэл,здоровый,Прилагательные: общие,,,
fácil,фасил,лёгкий (простой),Прилагательные: общие,,,
difícil,дифисил,трудный,Прилагательные: общие,,,
novo,нову,новый,Прилагательные: общие,,,
velho,вэлью,старый,Прилагательные: общие,,,
bom,бон,хороший,Прилагательные: общие,,,
mau,мау,плохой,Прилагательные: общие,,,
bonito,бониту,красивый,Прилагательные: общие,,,
feio,фэю,некрасивый,Прилагательные: общие,,,
honesto,онешту,честный,Прилагательные: общие,,,
pronto,про́нту,готовый ,Прилагательные: общие,,Estou pronta para sair – Я готовa выйти / A comida está pronta. - Еда готова,
bêbado,бебаду,пьяный,Прилагательные: общие,,Ele está bêbado - Он пьяный,
o que,у ке,что,Базовые слова,,O que você quer? – Что ты хочешь?,
quem,кень,кто,Базовые слова,,Quem está aí? – Кто там?,
onde,ондже,где,Базовые слова,,Onde você mora? – Где ты живёшь?,
aonde,аондже,куда,Базовые слова,,Aonde você vai? – Куда ты идёшь?,
de onde,джи ондже,откуда,Базовые слова,,De onde você é? – Откуда ты?,
quando,кванду,когда,Базовые слова,,Quando começa o filme? – Когда начинается фильм?,
quanto,куанту,сколько (муж. род),Базовые слова,,Quanto custa isso? – Сколько это стоит?,
quanta,куанта,сколько (жен. род),Базовые слова,,Quanta água você bebe por dia? – Сколько воды ты пьёшь в день?,
quantos,куантуш,сколько (множ. м. р.),Базовые слова,,Quantos irmãos você tem? – Сколько у тебя братьев?,
quantas,куантас,сколько (множ. ж. р.),Базовые слова,,Quantas horas você dorme? – Сколько часов ты спишь?,
como,кому,как,Базовые слова,,Como você está? – Как ты? / Как ты себя чувствуешь?,
por que,пор ке,почему,Базовые слова,,Por que você está triste? – Почему ты грустный?,
para que,пара ке,зачем,Базовые слова,,Para que serve isso? – Зачем это нужно?,
qual,куаль,какой / который,Базовые слова,,Qual é o seu nome? – Как тебя зовут? / Какое твоё имя?,
quais,куайш,какие (множественное),Базовые слова,,Quais são os seus livros favoritos? – Какие твои любимые книги?,
arroz,аррос,рис,Еда: супермаркет,,Você gosta de arroz? – Тебе нравится рис?,
pão,па̃у,хлеб,Еда: супермаркет,,Eu quero comprar pão. – Я хочу купить хлеб.,
massa,масса,макароны,Еда: супермаркет,,Hoje vamos comer massa. – Сегодня будем есть макароны.,
farinha,фаринья,мука,Еда: супермаркет,,Tem farinha em casa? – Дома есть мука?,
aveia,авейя,овсянка,Еда: супермаркет,,Eu como aveia no café da manhã. – Я ем овсянку на завтрак.,
leite,лейтчи,молоко,Еда: супермаркет,,Você toma leite? – Ты пьёшь молоко?,
queijo,кейжу,сыр,Еда: супермаркет,,Gosto de pão com queijo. – Мне нравится хлеб с сыром.,
manteiga,мантейга,масло,Еда: супермаркет,,Preciso de manteiga. – Мне нужно масло.,
iogurte,йогурти,йогурт,Еда: супермаркет,,Você quer iogurte natural? – Ты хочешь натуральный йогурт?,
ovo,ову,яйцо,Еда: супермаркет,,Eu comi dois ovos. – Я съел два яйца.,
carne,карни,мясо,Еда: супермаркет,,Você come carne? – Ты ешь мясо?,
frango,франгу,курица,Еда: супермаркет,,Hoje temos frango assado. – Сегодня у нас жареная курица.,
porco,порку,свинина,Еда: супермаркет,,Ele não come carne de porco. – Он не ест свинину.,
vitela,витела,телятина,Еда: супермаркет,,Vitela é uma carne macia. – Телятина — это нежное мясо.,
peixe,пейш,рыба,Еда: супермаркет,,Este peixe está ótimo. – Эта рыба отличная.,
água,агуа,вода,Еда: супермаркет,,Quero uma garrafa de água. – Хочу бутылку воды.,
bagas,багас,ягоды,Еда: супермаркет,,,
café,кафе,кофе,Еда: супермаркет,,Vamos tomar um café? – Пойдём выпьем кофе?,
cerveja,сервежа,пиво,Еда: супермаркет,,Ele gosta de cerveja. – Ему нравится пиво.,
vinho,винью,вино,Еда: супермаркет,,Você prefere vinho tinto? – Ты предпочитаешь красное вино?,
bebida,бебида,напиток,Еда: супермаркет,,Quer uma bebida? – Хочешь напиток?,
alface,алфасе,салат (листья),Еда: супермаркет,,Comprei alface fresca. – Я купила свежий салат.,
batata,батата,картофель,Еда: супермаркет,,Batata frita é muito boa. – Жареный картофель очень вкусный.,
beterraba,бетэрраба,свёкла,Еда: супермаркет,,Você gosta de beterraba? – Тебе нравится свёкла?,
cenoura,сенура,морковь,Еда: супермаркет,,O coelho come cenoura. – Кролик ест морковь.,
cebola,себола,лук,Еда: супермаркет,,Preciso cortar cebola. – Мне нужно нарезать лук.,
couve,кови,капуста,Еда: супермаркет,,Gosto de couve refogada. – Мне нравится тушёная капуста.,
ervilha,эрвилья,горошек,Еда: супермаркет,,Tem ervilha na sopa. – В супе есть горошек.,
espinafre,эспинафри,шпинат,Еда: супермаркет,,Comi espinafre com alho. – Я ел шпинат с чесноком.,
fava,фава,бобы,Еда: супермаркет,,Fava é rica em proteína. – Бобы богаты белком.,
lentilha,лентилья,чечевица,Еда: супермаркет,,Lentilha é saudável. – Чечевица полезна.,
milho,милью,кукуруза,Еда: супермаркет,,Milho assado é ótimo. – Жареная кукуруза — это вкусно.,
pepino,пепину,огурец,Еда: супермаркет,,Você gosta de pepino? – Тебе нравится огурец?,
tomate,туматчи,помидор,Еда: супермаркет,,Tomate vai bem com queijo. – Помидор хорошо сочетается с сыром.,
garrafa,гаррафа,бутылка,Еда: супермаркет,,"Uma garrafa de água, por favor. – Бутылку воды, пожалуйста.",
saco,саку,пакет,Еда: супермаркет,,Você quer um saco? – Хочешь пакет?,
dinheiro,диньейру,деньги,Еда: супермаркет,,Tem dinheiro trocado? – Есть мелкие деньги?,
sal,сал,соль,Еда: супермаркет,,"Passe o sal, por favor. – Передай соль, пожалуйста.",
açúcar,асукар,сахар,Еда: супермаркет,,Não uso açúcar no chá. – Я не кладу сахар в чай.,
caixa,кайша,касса,Еда: супермаркет,,A fila está na caixa. – Очередь у кассы.,
banana,банана,банан,Еда: супермаркет,,A banana está madura. – Банан спелый.,
fruta,фрута,фрукт,Еда: супермаркет,,Eu gosto de fruta fresca. – Я люблю свежие фрукты.,
uva,ува,виноград,Еда: супермаркет,,Uva verde é mais ácida. – Зелёный виноград более кислый.,
maçã,масã,яблоко,Еда: супермаркет,,Quero uma maçã. – Хочу яблоко.,
laranja,ларанжа,апельсин,Еда: супермаркет,,Laranja tem muita vitamina C. – Апельсин содержит много витамина С.,
melancia,мэлансия,арбуз,Еда: супермаркет,,Melancia é boa no verão. – Арбуз хорош летом.,
morango,мурангу,клубника,Еда: супермаркет,,Gosto de morango com açúcar. – Мне нравится клубника с сахаром.,
abacaxi,абакаши,ананас,Еда: супермаркет,,Abacaxi é doce e ácido. – Ананас сладкий и кислый.,
abacate,абакати,авокадо,Еда: супермаркет,,Como abacate com limão. – Я ем авокадо с лимоном.,
pêssego,пэссигу,персик,Еда: супермаркет,,O pêssego está macio. – Персик мягкий.,
pera,пейра,груша,Еда: супермаркет,,A pera está verde ainda. – Груша ещё зелёная.,
coco,коку,кокос,Еда: супермаркет,,Você já provou coco fresco? – Ты пробовал свежий кокос?,
figo,фигу,инжир,Еда: супермаркет,,Figo seco é muito doce. – Сушёный инжир очень сладкий.,
ameixa,амейша,слива,Еда: супермаркет,,A ameixa está madura. – Слива спелая.,
cereja,сэрежа,вишня,Еда: супермаркет,,Comprei cereja no mercado. – Я купил вишню на рынке.,
framboesa,фрамбоуэза,малина,Еда: супермаркет,,Framboesa é uma fruta delicada. – Малина — это нежная ягода.,
mirtilo,миртилу,черника,Еда: супермаркет,,Mirtilo é ótimo no iogurte. – Черника хорошо сочетается с йогуртом.,
kiwi,киви,киви,Еда: супермаркет,,Kiwi tem muita vitamina C. – В киви много витамина С.,
mamão,мама̃у,папайя,Еда: супермаркет,,Mamão é ótimo no café da manhã. – Папайя хороша на завтрак.,
manga,манга,манго,Еда: супермаркет,,A manga está bem doce. – Манго очень сладкий.,
melão,мелãу,дыня,Еда: супермаркет,,Melão gelado é refrescante. – Холодная дыня освежает.,
menu,мэну,меню,Еда: ресторан,,Posso ver o menu? – Можно посмотреть меню?,
prato,прату,блюдо,Еда: ресторан,,Qual é o prato do dia? – Какое сегодня блюдо дня?,
entrada,ентрада,закуска,Еда: ресторан,,Vamos pedir uma entrada. – Давайте закажем закуску.,
sobremesa,собрэмеза,десерт,Еда: ресторан,,Você quer sobremesa? – Хочешь десерт?,
garçom,гарсõ,официант,Еда: ресторан,,"Garçom, por favor! – Официант, пожалуйста!",
conta,конта,счёт,Еда: ресторан,,Pode trazer a conta? – Можно принести счёт?,
mesa,меза,стол (ж.р),Еда: ресторан,,Tem mesa para dois? – Есть столик на двоих?,
reserva,хезерва,бронь,Еда: ресторан,,Fiz uma reserva para hoje. – Я сделал бронь на сегодня.,
cardápio,карда́пиу,меню,Еда: ресторан,,O cardápio está na mesa. – Меню на столе.,
pedido,педжиду,заказ,Еда: ресторан,,Vamos fazer o pedido. – Давайте сделаем заказ.,
cliente,клиэнти,клиент,Еда: ресторан,,O cliente está esperando. – Клиент ждёт.,
porção,порса̃у,порция,Еда: ресторан,,É uma porção pequena. – Это маленькая порция.,
gorjeta,горжэта,чаевые,Еда: ресторан,,Deixamos a gorjeta na mesa. – Мы оставили чаевые на столе.,
cozinhar,козиньяр,готовить,Еда: кулинария,,Eu gosto de cozinhar. – Мне нравится готовить.,
ferver,фервер,кипятить,Еда: кулинария,,Ferva a água primeiro. – Сначала вскипятите воду.,
assar,асар,запекать,Еда: кулинария,,Vamos assar o frango. – Давайте запечём курицу.,
fritar,фритар,жарить,Еда: кулинария,,Ela vai fritar batatas. – Она будет жарить картошку.,
grelhar,грельяр,готовить на гриле,Еда: кулинария,,Vou grelhar peixe hoje. – Сегодня я приготовлю рыбу на гриле.,
cozido,козиду,варёный,Еда: кулинария,,O ovo está cozido. – Яйцо сварено.,
frito,фриту,жареный,Еда: кулинария,,Frango frito é delicioso. – Жареная курица вкусная.,
assado,ассаду,запечённый,Еда: кулинария,,Gosto de legumes assados. – Мне нравятся запечённые овощи.,
cru,кру,сырой,Еда: кулинария,,Não como peixe cru. – Я не ем сырую рыбу.,
bem passado,бэн пассаду,хорошо прожаренный,Еда: кулинария,,Quero bife bem passado. – Я хочу хорошо прожаренный стейк.,
mal passado,мал пассаду,слабо прожаренный,Еда: кулинария,,Ele pediu o bife mal passado. – Он заказал слабо прожаренный стейк.,
temperar,темперар,приправлять,Еда: кулинария,,Você já temperou a salada? – Ты уже приправил салат?,
misturar,мистурар,смешивать,Еда: кулинария,,Misture bem os ingredientes. – Хорошо перемешай ингредиенты.,
mexer,мешер,мешать,Еда: кулинария,,Mexa o molho com cuidado. – Осторожно помешивай соус.,
cortar,кортар,резать,Еда: кулинария,,Vou cortar os legumes. – Я порежу овощи.,
esquentar,эшкентар,разогревать,Еда: кулинария,,Preciso esquentar a sopa. – Мне нужно разогреть суп.,
descascar,дешкашкар,чистить (от кожуры),Еда: кулинария,,Vou descascar as batatas. – Я почищу картошку.,
panela,панела,кастрюля,Еда: кулинария,,A panela está no fogão. – Кастрюля на плите.,
frigorífico,,холодильник,Еда: кулинария,,,
frigideira,фрижидейра,сковорода,Еда: кулинария,,Frite na frigideira. – Жарьте на сковороде.,
fogão,,плита (м.р),Еда: кулинария,,,
forno,форну,духовка,Еда: кулинария,,O bolo está no forno. – Пирог в духовке.,
colher,кольер,ложка,Еда: кулинария,,Pegue uma colher. – Возьми ложку.,
garfo,гарфу,вилка,Еда: кулинария,,O garfo está na mesa. – Вилка на столе.,
faca,фака,нож,Еда: кулинария,,Use uma faca afiada. – Используй острый нож.,
tábua,табуа,разделочная доска,Еда: кулинария,,Corte na tábua. – Режь на доске.,
torrada,тухрада,тост,Еда: кулинария,,,
prato,прату,тарелка,Еда: кулинария,,O prato está limpo. – Тарелка чистая.,
copos,копуш,стаканы,Еда: кулинария,,Tem copos limpos? – Есть чистые стаканы?,
sangue,"санг-ы, носовой звук на “ã”",кровь,Части тела,,Análise de sangue - Анализ крови. O sangue é vermelho - Кровь — красная.,
