portuguese,pronunciation_ru,russian,category,type,examples,notes
árvore,арвори,дерево,Животные и природа,,A árvore é muito alta. – Дерево очень высокое.,
asa,аза,крыло,Животные и природа,,,
flor / as flores ,флор,цветок (ж.р),Животные и природа,,Gosto do cheiro desta flor. – Мне нравится запах этого цветка.,
planta,планта,растение,Животные и природа,,Tenho muitas plantas em casa. – У меня дома много растений.,
grama,грама,трава,Животные и природа,,As crianças brincam na grama. – Дети играют на траве.,
relva,рэлва,газон,Животные и природа,,O parque tem relva verde. – В парке зелёный газон.,
céu,сэу,небо,Животные и природа,,O céu está azul hoje. – Сегодня небо голубое.,
nuvem,нувен,облако,Животные и природа,,Há muitas nuvens no céu. – На небе много облаков.,
chuva,шува,дождь,Животные и природа,,A chuva começou agora. – Дождь только что начался.,
sol,соль,солнце,Животные и природа,,O sol está forte hoje. – Сегодня сильное солнце.,
vento,вэнту,ветер,Животные и природа,,O vento está frio. – Ветер холодный.,
mar,мар,море,Животные и природа,,O mar está calmo. – Море спокойное.,
rio,риу,река,Животные и природа,,Vamos nadar no rio. – Пойдём купаться в реке.,
lago,лагу,озеро,Животные и природа,,Este lago é bonito. – Это озеро красивое.,
montanha,монтанья,гора,Животные и природа,,Subimos a montanha. – Мы поднялись на гору.,
praia,прайя,пляж,Животные и природа,,Eu adoro ir à praia. – Я обожаю ходить на пляж.,
areia,арейя,песок,Животные и природа,,A areia está quente. – Песок горячий.,
terra,терра,земля,Животные и природа,,A terra está molhada. – Земля влажная.,
fogo,фогу,огонь,Животные и природа,,O fogo aquece a casa. – Огонь согревает дом.,
pedra,педра,камень,Животные и природа,,Peguei uma pedra da praia. – Я взял камень с пляжа.,
animal,анимал,животное,Животные и природа,,Este animal é selvagem. – Это дикое животное.,
passarinho,пассаринью,птичка,Животные и природа,,Um passarinho canta na árvore. – Птичка поёт на дереве.,
cão,ка̃у (носовой звук),собака (кобель),Животные и природа,,,
cadela,каде́ла,собака (сука),Животные и природа,,,
caçar,касар,охота,Животные и природа,,,
cavalo / égua,кавалу / эгва,жеребец / кобыла,Животные и природа,,,
vaca / boi,вака / бой,корова / бык,Животные и природа,,,
porco / porca,порку / порка,свинья(м) / свиноматка,Животные и природа,,,
ovelha / carneiro,овэлья / карнейру,овца / баран,Животные и природа,,,
ouriço,оурису,ежик,Животные и природа,,,
cabra / bode,кабра / боде,коза / козёл,Животные и природа,,,
galinha / galo,галинья/галу,курица/петух,Животные и природа,,,
coelho / coelha,куэлью/куэлья,кролик/крольчиха,Животные и природа,,,
pato,пату,утка,Животные и природа,,,
águia,агья,орел,Животные и природа,,,
leão/leoa,леа̃у / леоа,лев / львица,Животные и природа,,,
tigre,тигри,тигр,Животные и природа,,,
elefante,элифанти,слон,Животные и природа,,,
urso,урсу,медведь,Животные и природа,,,
raposa,рапоза,лиса,Животные и природа,,,
lobo,лобу,волк,Животные и природа,,,
camelo,камелу,верблюд,Животные и природа,,,
macaco,макаку,обезьяна,Животные и природа,,,
polvo,полву,осьминог,Животные и природа,,,
tartaruga,тартаруга,черепаха,Животные и природа,,,
golfinho,голфинью,дельфин,Животные и природа,,,
tubarão,тубара̃у,акула,Животные и природа,,,
corvo,корву,ворон,Животные и природа,,,
coruja,коружа,сова,Животные и природа,,,
morcego,морсегу,летучая мышь,Животные и природа,,,
aranha,аранья,паук,Животные и природа,,,
formiga,формига,муравей,Животные и природа,,,
abelha,абелья,пчела,Животные и природа,,,
lagarto,лагарту,ящерица,Животные и природа,,,
cobra,кобра,змея,Животные и природа,,,
burro/burra,бурру / бурра,осёл / ослица,Животные и природа,,,
cisne,сизни,лебедь,Животные и природа,,,
ganso,гансу,гусь,Животные и природа,,,
pombo,помбу,голубь,Животные и природа,,,
região,р̆ижиау,регион,Город,,,
cidade,сидаджи,город,Город,,Lisboa é uma cidade bonita. – Лиссабон — красивый город.,
rua,р̆уа,улица,Город,,A rua está vazia. – Улица пустая.,
estrada,эстрада,дорога,Город,,A estrada está em obras. – Дорога на ремонте.,
praça,праса,площадь,Город,,Vamos encontrar na praça. – Встретимся на площади.,
edifício,эдифисиу,здание,Город,,O meu edifício tem cinco andares. – В моём здании пять этажей.,
casa,каза,дом,Город,,Esta é a minha casa. – Это мой дом.,
apartamento,апартаменту,квартира,Город,,Moro num apartamento pequeno. – Я живу в маленькой квартире.,
loja,ложа,магазин,Город,,A loja está aberta. – Магазин открыт.,
mercado,меркаду,рынок,Город,,Fui ao mercado comprar frutas. – Я ходил на рынок за фруктами.,
parque,парки,парк,Город,,Vamos passear no parque. – Пойдём гулять в парк.,
igreja,игрэйжа,церковь,Город,,Há uma igreja antiga aqui. – Здесь есть старая церковь.,
escola,"(ы)школа 
ы-проглатывается",школа,Город,,A escola fica perto de casa. – Школа рядом с домом.,
hospital,ушпитал,больница,Город,,O hospital está longe. – Больница далеко.,
farmácia,фармасия,аптека,Город,,Preciso ir à farmácia. – Мне нужно в аптеку.,
restaurante,рестаура́нти,ресторан,Город,,Conheço um bom restaurante. – Я знаю хороший ресторан.,
café,кафе,кафе,Город,,Vamos ao café tomar algo. – Пойдём в кафе что-нибудь выпить.,
estação,эштасãу,станция,Город,,A estação está à direita. – Станция справа.,
paragem,паражем,остановка,Город,,Esperamos na paragem. – Мы ждём на остановке.,
carro,карху,машина,Город,,Tenho um carro pequeno. – У меня маленькая машина.,
autocarro,аутокарру,автобус,Город,,O autocarro chega em cinco minutos. – Автобус прибудет через 5 минут.,
comboio,комбойу,поезд,Город,,Vamos de comboio para o Porto. – Поедем поездом в Порту.,
metro,метру,метро,Город,,O metro é rápido. – Метро быстрое.,
bicicleta,бисиклета,велосипед,Город,,Ando de bicicleta todos os dias. – Я езжу на велосипеде каждый день.,
trotinete,тротинете,самокат,Город,,Ela usa uma trotinete elétrica. – Она ездит на электросамокате.,
mota,мота,мотоцикл,Город,,Ele tem uma mota nova. – У него новый мотоцикл.,
avião,авиа̃у,самолёт,Город,,O avião vai decolar. – Самолёт собирается взлетать.,
barco,барку,лодка,Город,,Vamos andar de barco. – Пойдём кататься на лодке.,
camioneta,камионета,междугородний автобус,Город,,A camioneta sai às 9h. – Междугородний автобус уходит в 9 утра.,
quarto,кварту,спальня,"Люди, семья, дом",,O quarto tem uma cama grande. – В спальне большая кровать.,
sala / sala de estar,сала,гостиная,"Люди, семья, дом",,A sala tem um sofá confortável. – В гостиной стоит удобный диван.,
cozinha,кузинья,кухня,"Люди, семья, дом",,Eu gosto de cozinhar na cozinha. – Мне нравится готовить на кухне.,
casa de banho,каза де банью,ванная,"Люди, семья, дом",,A casa de banho tem duche. – В ванной есть душ.,
corredor,корредор,коридор,"Люди, семья, дом",,O corredor é estreito. – Коридор узкий.,
varanda,варанда,балкон,"Люди, семья, дом",,Tomamos café na varanda. – Мы пьем кофе на балконе.,
entrada / hall de entrada,ентрада,прихожая / вход,"Люди, семья, дом",,Deixei os sapatos na entrada. – Я оставил обувь у входа.,
escritório,эшкриториу,кабинет,"Люди, семья, дом",,Trabalho no meu escritório. – Я работаю в своём кабинете.,
garagem ,гара́жэнь,гараж,"Люди, семья, дом",,,
cama,кама,кровать,"Люди, семья, дом",,A cama é confortável. – Кровать удобная.,
sofá,софа,диван,"Люди, семья, дом",,Estamos sentados no sofá. – Мы сидим на диване.,
mesa,меза,стол,"Люди, семья, дом",,Pus os pratos na mesa. – Я поставил тарелки на стол.,
cadeira,кадейра,стул,"Люди, семья, дом",,Preciso de mais uma cadeira. – Мне нужен ещё один стул.,
armário,армариу,шкаф,"Люди, семья, дом",,O armário está cheio de roupas. – Шкаф полон одежды.,
estante,эштант,книжная полка,"Люди, семья, дом",,Os livros estão na estante. – Книги на полке.,
espelho,эшпелью,зеркало,"Люди, семья, дом",,Olhei-me no espelho. – Я посмотрел(а) в зеркало.,
tapete,тапети,ковёр,"Люди, семья, дом",,O tapete é colorido. – Ковёр разноцветный.,
lâmpada,лампада,лампа,"Люди, семья, дом",,A lâmpada está acesa. – Лампа включена.,
janela,,окно,,,,
gaveta,гавета,ящик,"Люди, семья, дом",,A gaveta está trancada. – Ящик закрыт.,
camisa,камиза,рубашка,"Люди, семья, дом",,Ele está a usar uma camisa branca. – Он в белой рубашке.,
camiseta,камизета,футболка,"Люди, семья, дом",,Gosto de usar camisetas no verão. – Мне нравится носить футболки летом.,
calças,калсаш,брюки,"Люди, семья, дом",,Estas calças são novas. – Эти брюки новые.,
calções,калшо̃йс,шорты,"Люди, семья, дом",,No verão uso calções. – Летом я ношу шорты.,
saia,сайя,юбка,"Люди, семья, дом",,A saia dela é azul. – У неё синяя юбка.,
vestido,вештиду,платье,"Люди, семья, дом",,Ela comprou um vestido novo. – Она купила новое платье.,
casaco,казаку,куртка / пальто,"Люди, семья, дом",,"Leva um casaco, está frio. – Возьми куртку, холодно.",
blusão,блуза̃у,ветровка,"Люди, семья, дом",,"Ele tirou o blusão ao chegar. – Он снял ветровку, когда пришёл.",
suéter,суэтер,свитер,"Люди, семья, дом",,Preciso de um suéter quente. – Мне нужен тёплый свитер.,
roupa interior,роупа интерьёр,нижнее бельё,"Люди, семья, дом",,Comprei roupa interior nova. – Я купил(а) новое бельё.,
meias,мейаш,носки,"Люди, семья, дом",,Onde estão as minhas meias? – Где мои носки?,
sapatos,сапатуш,туфли / обувь,"Люди, семья, дом",,Os sapatos são pretos. – Туфли чёрные.,
ténis,тэниш,кроссовки,"Люди, семья, дом",,Gosto de usar ténis confortáveis. – Мне нравится носить удобные кроссовки.,
botas,боташ,сапоги / ботинки,"Люди, семья, дом",,No inverno uso botas. – Зимой я ношу сапоги.,
chinelos,шинелуш,тапочки / шлёпанцы,"Люди, семья, дом",,Uso chinelos em casa. – Я ношу тапочки дома.,
cinto,синту,ремень,"Люди, семья, дом",,O cinto é de couro. – Ремень из кожи.,
luvas,луваш,перчатки,"Люди, семья, дом",,As luvas estão no bolso. – Перчатки в кармане.,
cachecol,кашекол,шарф,"Люди, семья, дом",,Ele usa um cachecol de lã. – Он носит шерстяной шарф.,
chapéu,шапе́у,шляпа / головной убор,"Люди, семья, дом",,Ela está com um chapéu bonito. – У неё красивая шляпа.,
óculos de sol,окулуш де соль,солнцезащитные очки,"Люди, семья, дом",,Preciso dos meus óculos de sol. – Мне нужны мои солнечные очки.,
o que,у ке,что / это ,Базовые слова,,O que você quer comer? – Что ты хочешь поесть?,вопросительные слова
quem,кейн,кто,Базовые слова,,Quem é ele? – Кто он?,вопросительные слова
onde,о(н)жи,где,Базовые слова,,Onde fica o supermercado? – Где находится супермаркет?,вопросительные слова
para onde,пара о(н)жи,куда,Базовые слова,,Para onde vamos agora? – Куда мы сейчас идём?,вопросительные слова
de onde,де о(н)жи,откуда,Базовые слова,,De onde você é? – Откуда ты?,вопросительные слова
como,кому,как,Базовые слова,,Como você está? – Как ты?,вопросительные слова
quando,куанду,когда,Базовые слова,,Quando é a reunião? – Когда встреча?,вопросительные слова
por que,пур ке,почему,Базовые слова,,Por que você está triste? – Почему ты грустный?,вопросительные слова
quanto,куанту,сколько (м.р.),Базовые слова,,Quanto custa isso? – Сколько это стоит?,вопросительные слова
quanta,куанта,сколько (ж.р.),Базовые слова,,Quanta água você bebe? – Сколько воды ты пьёшь?,вопросительные слова
quantos,куантуш,сколько (мн.ч. м.р.),Базовые слова,,Quantos anos você tem? – Сколько тебе лет?,вопросительные слова
quantas,куантас,сколько (мн.ч. ж.р.),Базовые слова,,Quantas pessoas vêm? – Сколько людей придёт?,вопросительные слова
qual,куал,какой / который (ед.ч.),Базовые слова,,Qual é o seu nome? – Как тебя зовут?,вопросительные слова
quais,куайш,какие / которые (мн.ч.),Базовые слова,,Quais são os seus livros? – Какие из них твои книги?,вопросительные слова
meu / minha,меу / миня,мой / моя,Базовые слова,,Este é o meu livro. – Это моя книга.,местоимения
teu / tua,теу / туa,твой / твоя,Базовые слова,,Onde está a tua casa? – Где твой дом?,местоимения
seu / sua,сеу / суa,ваш / его / её,Базовые слова,,O seu carro é novo. – Его (или ваш) автомобиль новый.,местоимения
nosso / nossa,носсу / носа,наш / наша,Базовые слова,,Nossa casa é bonita. – Наш дом красивый.,местоимения
os,уж ,эти / те - опред.артикль мужского рода ,Базовые слова,,os amigos - друзья,
em,эй̃,в / на,Базовые слова,,Estou em casa. – Я дома.,предлоги
"de
do (de+o)
da (de+a)
dos (de+os)
das (de+as)",джи,"из / от / ""родительный падеж"" (отсутствие, принадлежность кого? чего?)",Базовые слова,,"Sou de Portugal. – Я из Португалии.
Eu sou da Áustria.
Sou do Brasil.
O livro do Miguel. - Книга Мигеля. 
O carro da Claúdia. 
Os instrumentos dos músicos.",предлоги
a,а,к / в,Базовые слова,,Vou a Lisboa. – Еду в Лиссабон.,предлоги
com,ком,с,Базовые слова,,Falo com ele. – Говорю с ним.,предлоги
para,пара,"для / чтобы / к / в сторону 

в англ это разные предлоги to/for/at",Базовые слова,,"Este presente é para ti. – Этот подарок для тебя.
Estudo para aprender. — Я учусь, чтобы научиться.
Vou para casa. — Я иду домой.",предлоги
por,пур,через / за / по,Базовые слова,,Passei por aqui. – Проходил здесь.,предлоги
mas,маш,но ,Базовые слова,,,
mesmo,межму,такой же ,Базовые слова,,,
sem,сэ̃й,без,Базовые слова,,Não posso viver sem ti. – Не могу жить без тебя.,предлоги
sobre,собри,о / над / на,Базовые слова,,Falamos sobre o filme. – Мы говорим о фильме.,предлоги
entre,энтри,между,Базовые слова,,O livro está entre as revistas. – Книга между журналами.,предлоги
até,атэ,до,Базовые слова,,Trabalho até às seis. – Работаю до шести.,предлоги
aqui,аки,"здесь, тут",Базовые слова,,O teu casaco está aqui. – Твоя куртка здесь.,
médico / médica,медику / медика,врач,"Люди, семья, дом",,O médico trabalha no hospital. – Врач работает в больнице.,
enfermeiro / enfermeira,энфермейру / энфермейра,медбрат / медсестра,"Люди, семья, дом",,A enfermeira é muito simpática. – Медсестра очень милая.,
professor / professora,пруфессор / пруфессора,учитель / преподаватель,"Люди, семья, дом",,O professor explica bem. – Учитель хорошо объясняет.,
aluno ,,ученик,"Люди, семья, дом",,,
estudante,эштуданти,студент,"Люди, семья, дом",,Sou estudante de português. – Я изучаю португальский.,
advogado / advogada,адвогаду / адвогада,адвокат,"Люди, семья, дом",,O advogado defende o cliente. – Адвокат защищает клиента.,
engenheiro / engenheira,энженьейру / энженьейра,инженер,"Люди, семья, дом",,O engenheiro constrói pontes. – Инженер строит мосты.,
arquiteto / arquiteta,аркетету / аркетета,архитектор,"Люди, семья, дом",,A arquiteta desenhou a casa. – Архитектор спроектировала дом.,
motorista,моторишта,водитель,"Люди, семья, дом",,O motorista está atrasado. – Водитель опаздывает.,
polícia / policial,пулисия / пулисиал,полицейский,"Люди, семья, дом",,O polícia patrulha a área. – Полицейский патрулирует район.,
bombeiro / bombeira,бомбейру / бомбейра,пожарный,"Люди, семья, дом",,O bombeiro salvou o gato. – Пожарный спас кошку.,
cozinheiro / cozinheira,кузинейру / кузинейра,повар,"Люди, семья, дом",,O cozinheiro preparou o jantar. – Повар приготовил ужин.,
garçom / garçonete,гарсо̃ / гарсонетчи,официант / официантка,"Люди, семья, дом",,O garçom trouxe o menu. – Официант принёс меню.,
padeiro / padeira,падейру / падейра,пекарь,"Люди, семья, дом",,A padeira faz pão fresco. – Пекарь печёт свежий хлеб.,
cabeleireiro / cabeleireira,кабелейрейру / кабелейрейра,парикмахер,"Люди, семья, дом",,A cabeleireira cortou meu cabelo. – Парикмахер подстриг мне волосы.,
artista,артиста,артист,"Люди, семья, дом",,Ela é uma artista famosa. – Она известная артистка.,
ator / atriz,атор / атриш,актёр / актриса,"Люди, семья, дом",,O ator está num novo filme. – Актёр в новом фильме.,
cantor / cantora,кантор / кантора,певец / певица,"Люди, семья, дом",,A cantora tem uma voz linda. – У певицы прекрасный голос.,
escritor / escritora,эскритор / эскритора,писатель,"Люди, семья, дом",,O escritor publicou um novo livro. – Писатель выпустил новую книгу.,
fotógrafo / fotógrafa,фотографу / фотографа,фотограф,"Люди, семья, дом",,A fotógrafa tirou uma boa foto. – Фотограф сделала хороший снимок.,
veterinário / veterinária,ветеринариу / ветеринария,ветеринар,"Люди, семья, дом",,O veterinário cuida dos animais. – Ветеринар заботится о животных.,
manhã                                                                                                                                                     ,манья,утро,Числа и время,,,
amanhã,аманьЯн,завтра (наречия времени Когда?),Числа и время,New,,
hoje,Ож(и),сегодня,Числа и время,New,Hoje estou cansada. - Сегодня я устала.,
ontem,о́нтейн,вчера,Числа и время,New,Eu fui ao supermercado ontem. – Я вчера ходила в супермаркет.,
agora,агора,сейчас / теперь ,Числа и время,,"Agora não posso. - Сейчас не могу.
O que fazemos agora? - Что мы делаем сейчас?",
já,,уже,Числа и время,,,
ainda,,еще,Числа и время,,,
sempre,,всегда,Числа и время,,,
nunca,,никогда ,Числа и время,,,
depois,,потом,Числа и время,,,
logo,,скоро ,Числа и время,,,
primavera,примавэра,весна,Числа и время,,A primavera começa em março. – Весна начинается в марте.,
verão,вера̃у,лето,Числа и время,,O verão é quente em Portugal. – Лето жаркое в Португалии.,
outono,оутону,осень,Числа и время,,As folhas caem no outono. – Листья падают осенью.,
inverno,инверну,зима,Числа и время,,O inverno pode ser frio. – Зима может быть холодной.,
segunda-feira,сигунда фейра,понедельник,Числа и время,,Tenho aula na segunda-feira. – У меня урок в понедельник.,
terça-feira,терса фейра,вторник,Числа и время,,Vamos ao cinema na terça-feira. – Мы идём в кино во вторник.,
quarta-feira,куарта фейра,среда,Числа и время,,A reunião é na quarta-feira. – Встреча в среду.,
quinta-feira,кинта фейра,четверг,Числа и время,,Quinta-feira é dia de treino. – В четверг тренировка.,
sexta-feira,сейшта фейра,пятница,Числа и время,,Sexta-feira vamos sair. – В пятницу мы идём гулять.,
sábado,сабаду,суббота,Числа и время,,No sábado eu descanso. – В субботу я отдыхаю.,
domingo,домингу,воскресенье,Числа и время,,Domingo é dia de família. – Воскресенье — семейный день.,
janeiro,жанейру,январь,Числа и время,,Janeiro é o primeiro mês do ano. – Январь — первый месяц года.,
fevereiro,феврейру,февраль,Числа и время,,Fevereiro é o mês do Carnaval. – Февраль — месяц карнавала.,
março,марсу,март,Числа и время,,Março traz a primavera. – Март приносит весну.,
abril,абрил,апрель,Числа и время,,Abril tem muitos feriados. – В апреле много праздников.,
maio,маю,май,Числа и время,,Maio é um mês bonito. – Май — красивый месяц.,
junho,жунью,июнь,Числа и время,,Junho começa o verão. – В июне начинается лето.,
julho,жулью,июль,Числа и время,,Julho é um mês quente. – Июль — жаркий месяц.,
agosto,агосту,август,Числа и время,,Agosto é mês de férias. – Август — месяц отпусков.,
setembro,сэтембру,сентябрь,Числа и время,,Setembro começa o outono. – В сентябре начинается осень.,
outubro,оутубру,октябрь,Числа и время,,Outubro é o mês das folhas caídas. – Октябрь — месяц опавших листьев.,
novembro,новембру,ноябрь,Числа и время,,Novembro já é frio. – В ноябре уже холодно.,
dezembro,дезембру,декабрь,Числа и время,,Dezembro tem o Natal. – В декабре Рождество.,
TI = Tecnologia da Informação,,IT,,,,
Russa / Russo,,Русская (национальность) / Русский (язык),,,,
todo / toda / todos / todas,тОду,"весь, целый, каждый (с сущ.)
весь (м.р.) / вся (ж.р.) / все (м.р. мн.ч.) / все (ж.р. мн.ч.)",,,"todo + артикль + существительное
todo o dia — весь день
toda a noite — всю ночь
todos os dias — каждый день / все дни
todos os anos - тодузузануш - каждый год 
todas as semanas — каждую неделю
",
tudo,тУду,все (абстрактно),,,Eu li tudo. — Я всё прочитал.,
ano,ану,год,,,,
ovo,ову,яйцо,,,,
porta,порта ,дверь ,,,,
carta,карта,письмо,,,,
risco,хришку,риск ,,,,
riso,хризу,смех,,,,
tosse,тос,кашель,,,,
sabor,сабор,вкус,,,,
gente,женте,люди,,,,
agulha,агуля (lha=ля),иголка,,,,
falhar,фаляр (lha=ля),неудача,,,,
olhar,оляр (lha=ля),"смотреть (действие)
≠ ver — видеть (результат зрения)",,,"olhar para + объект
Eu olho para o mar. — Я смотрю на море.
Eu olho para ti. — Я смотрю на тебя.",
raro,р̆ару,редкий ,,,,
toalha,тоалья,полотенце,,,,
trabalho de casa,,домашняя работа ,,,,
seguinte,,следующий,,,,
caneta,,ручка,,,,